Ch1,Ch2,Ch3,Media,Name,Directory,SubDirectory,Image,Row,Column,size-average,image-quality,too-big-(>250),too-small-(<75),#nuclei,all-negative,Dapi-positive,Dapi-intensity,Dapi-area,Dapi-intensity-in-nuclei,Dapi-area-fraction-in-nuclei,Ch1-positive,Ch1-intensity,Ch1-area,Ch1-intensity-in-nuclei,Ch1-area-fraction-in-nuclei,Ch2-positive,Ch2-intensity,Ch2-area,Ch2-intensity-in-nuclei,Ch2-area-fraction-in-nuclei,Ch3-positive,Ch3-intensity,Ch3-area,Ch3-intensity-in-nuclei,Ch3-area-fraction-in-nuclei,Ch1-Ch2-positive,Ch1-Ch3-positive,Ch2-Ch3-positive,Ch1-Ch2-Ch3-positive
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G11f05d0.TIF,G,11,133.39,True,213,483,768,172,768,12.129105640117723,20.568437873631932,27.115827823484647,99.92730127560984,594,29.874448174376898,29.100107491032833,35.06886002650257,39.1241603169762,398,45.78448335326037,8.629963556516142,51.67502162946356,15.01411235993387,0,6.2140465487905825,0.0004311137680492964,8.995274627157249,0.0007066139061616733,396,0,0,0
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G11f06d0.TIF,G,11,143.51,False,423,147,796,224,796,15.725760628391429,30.63918364296882,30.359495557125953,99.97061088751013,572,28.127529200772557,25.30652188908305,32.19213728255967,33.06079725812949,37,26.090623706658697,0.709541409914467,28.596503941099805,0.5956769977965518,3,11.992285937643704,0.013795640577577485,16.588578458661015,0.056966764128107666,37,3,0,0
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G11f07d0.TIF,G,11,121.06,False,112,637,1304,205,1304,11.29713797939851,21.681358065851192,30.2182583435036,99.96334055449458,740,19.56002684401729,11.569800193138969,22.949248989041415,15.03921426391994,483,38.04125327646464,4.748790007357675,43.32811749224617,7.518865320538072,834,34.35270710705417,7.115029775590913,52.18188506383595,22.289656540639598,457,482,325,306
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G11f08d0.TIF,G,11,134.08,False,224,205,1388,114,1388,14.013853122413318,27.489538305895337,33.20269568331734,99.99954888710448,1100,31.386855628621355,32.56072955945921,36.89876609464912,42.04815661915517,612,42.31015905223949,7.016951393359698,48.12167160542397,9.825817174015697,1011,43.384197093718385,14.332880184861583,59.92747833988219,33.92053475322097,602,840,499,492
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G11f09d0.TIF,G,11,185.58,False,623,29,583,9,583,23.954818558585487,44.64621367147981,40.298704026077004,99.99969517342689,531,42.188223552607376,55.70219810539869,46.525024216489555,65.31809028736096,132,41.98103530534351,5.0691075370183025,44.66306425376361,5.914807183867438,463,52.811551549710295,26.154953784604064,62.79508347025008,40.78332634386504,132,420,118,118
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G11f10d0.TIF,G,11,176.33,False,511,43,693,120,693,20.803462418375794,36.81280465372942,39.53484438422266,99.99947568785299,572,33.69813485813483,35.1900205784972,38.14392240875525,46.409570338247754,2,15.31765180952819,0.048428446610870965,16.670053985704254,0.09032533275197331,17,24.254881644900212,0.446059045341672,29.520033318224012,0.8474472734936896,2,16,2,2
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G11f11d0.TIF,G,11,151.18,True,170,33,333,91,333,10.577272831785155,14.336616504184677,35.54114783783071,99.99912921352089,225,19.512713545019775,14.270656097673136,37.88045280382882,42.40419955231562,183,40.81301230686103,7.169781224133174,59.239024216062,20.338789105095213,21,21.492413834728225,2.0602926975075877,38.08456465407323,3.907128326947923,171,16,13,13
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G12f00d0.TIF,G,12,121.46,False,304,485,1404,477,1404,17.21212593695392,34.652493562034394,33.34481750462215,99.99018042902628,893,28.09659175825439,25.771621792513567,30.513096846645798,27.61846353856819,545,43.22736509013152,10.5550302354456,47.13673546999926,11.43965731799551,168,22.16153689184218,1.4243280373402005,29.449944916329212,2.310898961885294,532,147,107,107
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G12f01d0.TIF,G,12,120.37,False,244,380,1474,497,1474,16.112287173503173,30.488653085624943,36.60892679611376,99.99721688129131,969,26.391896067092798,22.729754897452406,32.34292504224936,29.725108442134925,42,20.434803383380853,0.8753765060240963,23.639917240027454,0.6388305526210569,34,15.049579520371562,0.16741584659247677,22.02033592711581,0.4374177652038296,41,27,3,3
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G12f02d0.TIF,G,12,127.0,False,294,181,1376,425,1376,16.746666772050034,30.366863446151015,37.35610841078852,99.99986918922171,913,26.710098983721146,22.34031546031454,32.42222447153214,30.44444567667923,620,44.193923595143936,9.610459969649591,50.611591376291486,12.675414625474595,87,25.45546594776051,1.1964844109261474,33.39528038775995,1.8427061849362938,592,75,64,62
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G12f03d0.TIF,G,12,126.83,False,328,262,1685,897,1685,18.697123896348753,35.91666283454428,37.700502708162546,99.99971823048746,786,20.635872689230204,14.162805803366137,23.122219667088313,15.1493135544711,56,22.618754598546857,0.5945777384346547,24.68294393703003,0.5074103423013661,4,11.118423359468409,0.007472638646187805,14.509476337374211,0.012407320325997472,55,3,1,1
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G12f04d0.TIF,G,12,125.95,False,350,345,1543,947,1543,18.88613135749103,37.89942690609767,35.474934221102075,99.99579130953833,497,15.915296922422515,7.974742481375885,17.889899587638084,8.212085325118636,31,21.28316845626782,1.21638749655109,22.069607518062668,0.43415750494560856,225,26.160266543272325,2.742602087740274,32.619022779226555,2.975820703149507,29,128,22,22
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G12f05d0.TIF,G,12,136.39,False,445,304,784,220,784,20.871594201232412,41.7429498528465,31.95880411341235,99.9769950005237,539,31.313701370366964,34.50124448174377,32.98755443607251,35.49716406430349,367,50.4917786604433,16.863805412489654,53.2152247577598,16.996217018391103,90,24.47962556332199,1.3646906327600479,30.143829156544847,2.03039620442842,362,69,56,55
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G12f06d0.TIF,G,12,146.86,True,365,243,368,152,368,19.056884743171157,37.79172031638002,27.148481970008028,99.90887929578162,168,29.568684327002668,28.140376391060425,30.101031656646224,27.378898352026713,130,50.75886944725467,17.38451899199853,51.07300972800145,14.66833452685895,92,31.86487313758852,6.860313390968454,37.901555811172614,6.052170175498059,121,51,45,43
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G12f07d0.TIF,G,12,133.39,False,497,274,767,228,767,31.778731577071646,57.308240595971675,34.15952749747932,99.99881177431355,490,37.80226320357767,41.616920927986754,33.802801680669944,33.90498263545346,296,52.43250770256599,18.960455371102732,49.006344555081135,13.501520504409326,194,34.677916340936264,8.000968568932217,35.35215603782258,4.465974289837503,291,150,107,107
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G12f08d0.TIF,G,12,120.68,False,286,472,1405,379,1405,18.47530939598087,34.93286121585579,36.0469926580527,100.0,1018,28.021984646601673,27.18747125908213,32.33607834057591,31.671282540991967,37,20.44313537547135,0.4324071093534443,23.036280901001014,0.2842371237068133,63,15.908260427205004,0.27152982157638184,21.543888088675065,0.6476832369867462,37,55,3,3
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G12f09d0.TIF,G,12,122.54,False,298,376,1205,456,1205,15.452041467396302,30.396610296146417,33.9531085898875,99.99907887291047,725,25.866417243401084,23.319446679849168,32.31831213175791,31.307662838994826,3,12.456312367791778,0.06854708911983813,14.394605987958352,0.08505829493311892,156,26.057968275774854,2.6123338774947116,35.807628358795824,3.662841789824746,3,132,2,2
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G12f10d0.TIF,G,12,126.42,False,344,185,1484,687,1484,18.392661294031086,35.00133645268095,36.48519756209717,99.99724016117459,518,20.606536115837397,12.824053848983722,23.507482699954373,14.47640459669576,152,29.88959535661731,2.479622689230203,33.118382598081375,2.0540731159824452,565,39.720888324289525,8.875482847420216,49.28688148890828,13.944431302176307,146,286,101,95
